CODIGO,DESCRICAO
400008070,PORTA ESQ 345X320X15 MDP 8 PRETO ACETIN
400008108,PORTA ESQ 345X320X15 MDP 8 GRAFITE
403001006,1.4 INF 1366X515X15 MDP 1 OFF WHITE
403001021,1.4 INF 1366X515X15 MDP 1 BCO AC
403001070,1.4 INF 1366X515X15 MDP 1 PTO AC
403001073,1.4 INF 1366X515X15 MDP 1 CUMARU
403001077,1.4 INF 1366X515X15 MDP 1 NATURE
403001108,1.4 INF 1366X515X15 MDP 1 GRAFITE
403001111,1.4 INF 1366X515X15 MDP 1 ALECRIM
403001116,1.4 INF 1366X515X15 MDP 1 CINAMOMO
403002006,1.4 SUP 1366X515X15 MDP 2 OFF WHITE
403002021,1.4 SUP 1366X515X15 MDP 2 BCO AC
403002070,1.4 SUP 1366X515X15 MDP 2 PTO AC
403002073,1.4 SUP 1366X515X15 MDP 2 CUMARU
403002077,1.4 SUP 1366X515X15 MDP 2 NATURE
403002108,1.4 SUP 1366X515X15 MDP 2 GRAFITE
403002111,1.4 SUP 1366X515X15 MDP 2 ALECRIM
403002116,1.4 SUP 1366X515X15 MDP 2 CINAMOMO
403003006,1.4 ENCH LAT 1020X85X15 MDP 3 OFF W
403003021,1.4 ENCH LAT 1020X85X15 MDP 3 BCO A
403003070,1.4 ENCH LAT 1020X85X15 MDP 3 PTO A
403003073,1.4 ENCH LAT 1020X85X15 MDP 3 CUMAR
403003077,1.4 ENCH LAT 1020X85X15 MDP 3 NATUR
403003108,1.4 ENCH LAT 1020X85X15 MDP 3 GRAFT
403003111,1.4 ENCH LAT 1020X85X15 MDP 3 ALECR
403003116,1.4 ENCH LAT 1020X85X15 MDP 3 CINAM
403004100,1.4 SUP PAINEL 900X85X15 MDP 4
403005100,1.4 SUP FIXACAO 900X85X15 MDP 6
403006006,1.4 PRAT 1270X150X25 MDP 5 OFF WHIT
403006021,1.4 PRAT 1270X150X25 MDP 5 BCO AC
403006070,1.4 PRAT 1270X150X25 MDP 5 PTO AC
403006073,1.4 PRAT 1270X150X25 MDP 5 CUMARU
403006077,1.4 PRAT 1270X150X25 MDP 5 NATURE
403006116,1.4 PRAT 1270X150X25 MDP 5 CINAMOMO
404004100,0.9 SUP PAINEL 680X85X15 MDP 4
404005100,0.9 SUP FIXACAO 680X85X15 MDP 6
404006006,0.9 PRAT 800X150X25 MDP 5 OFF WI
404006021,0.9 PRAT 800X150X25 MDP 5 BCO AC
404006070,0.9 PRAT 800X150X25 MDP 5 PTO AC
404006073,0.9 PRAT 800X150X25 MDP 5 CUMARU
404006077,0.9 PRAT 800X150X25 MDP 5 NATURE
404006116,0.9 PRAT 800X150X25 MDP 5 CINAMO
404007006,0.9 INF 900X450X15 MDP 1 OFF WHI
404007021,0.9 INF 900X450X15 MDP 1 BCO AC
404007070,0.9 INF 900X450X15 MDP 1 PTO AC
404007073,0.9 INF 900X450X15 MDP 1 CUMARU
404007077,0.9 INF 900X450X15 MDP 1 NATURE
404007116,0.9 INF 900X450X15 MDP 1 CINAMO
404008006,0.9 SUP 900X450X15 MDP 2 OFF WHI
404008021,0.9 SUP 900X450X15 MDP 2 BCO AC
404008070,0.9 SUP 900X450X15 MDP 2 PTO AC
404008073,0.9 SUP 900X450X15 MDP 2 CUMARU
404008077,0.9 SUP 900X450X15 MDP 2 NATURE
404008116,0.9 SUP 900X450X15 MDP 2 CINAMO
404009006,0.9 ENCH LAT 890X85X15 MDP 3 OFF
404009021,0.9 ENCH LAT 890X85X15MDP3BCO AC
404009070,0.9 ENCH LAT 890X85X15 MDP3PTOAC
404009073,0.9 ENCH LAT 890X85X15 MDP 3 CUM
404009077,0.9 ENCH LAT 890X85X15 MDP 3 NAT
404009116,0.9 ENCH LAT 890X85X15 MDP 3 CIN
417001006,APOIO TAMPO 540X540X25 MDF N 1 OFF WHITE
417001073,APOIO TAMPO 540X540X25 MDF N 1 CUMARU
417001116,APOIO TAMPO 540X540X25 MDF 1 CINAMOMO
441001001,TAMPO 505X335X15 MDP 1 BRANCO
441001006,TAMPO 505X335X15 MDP 1 OFF WHITE
441001016,TAMPO 505X335X15 MDP 1 IMBUIA DM
441001077,TAMPO 505X335X15 MDP 1 NATURE
441001116,TAMPO 505X335X15 MDP 1 CINAMOMO
441002001,FUNDO APOIO 401X77X15 MDP 2 BRANCO
441002006,FUNDO APOIO 401X77X15 MDP 2 OFF WHITE
